"Date","Visit","Home","DH","Rain","Away_Score","Home_Score"
2017-05-09,"MIL","PIT",NA,NA,NA,NA
2017-05-09,"WAS","PHI",NA,NA,NA,NA
2017-05-10,"CHA","BAL",NA,NA,NA,NA
2017-05-10,"BOS","MIN",NA,NA,NA,NA
2017-05-10,"CLE","KC",NA,NA,NA,NA
2017-05-10,"DET","OAK",NA,NA,NA,NA
2017-05-10,"HOU","LAA",NA,NA,NA,NA
2017-05-10,"NYA","CHN",NA,NA,NA,NA
2017-05-10,"TEX","SEA",NA,NA,NA,NA
2017-05-10,"TOR","TB",NA,NA,NA,NA
2017-05-10,"ARI","COL",NA,NA,NA,NA
2017-05-10,"STL","ATL",NA,NA,NA,NA
2017-05-10,"SF","CIN",NA,NA,NA,NA
2017-05-10,"LAN","SD",NA,NA,NA,NA
2017-05-10,"MIA","NYN",NA,NA,NA,NA
2017-05-10,"MIL","PIT",NA,NA,NA,NA
2017-05-10,"WAS","PHI",NA,NA,NA,NA
2017-05-11,"WAS","BAL",NA,NA,NA,NA
2017-05-11,"CLE","TOR",NA,NA,NA,NA
2017-05-11,"KC","TB",NA,NA,NA,NA
2017-05-11,"LAA","OAK",NA,NA,NA,NA
2017-05-11,"NYA","CIN",NA,NA,NA,NA
2017-05-11,"TEX","SD",NA,NA,NA,NA
2017-05-11,"CHN","COL",NA,NA,NA,NA
2017-05-11,"PIT","LAN",NA,NA,NA,NA
2017-05-11,"STL","MIA",NA,NA,NA,NA
2017-05-11,"SF","NYN",NA,NA,NA,NA
2017-05-12,"WAS","BAL",NA,NA,NA,NA
2017-05-12,"BOS","MIL",NA,NA,NA,NA
2017-05-12,"MIN","CHA",NA,NA,NA,NA
2017-05-12,"CLE","TOR",NA,NA,NA,NA
2017-05-12,"DET","ARI",NA,NA,NA,NA
2017-05-12,"ATL","HOU",NA,NA,NA,NA
2017-05-12,"KC","TB",NA,NA,NA,NA
2017-05-12,"LAA","OAK",NA,NA,NA,NA
2017-05-12,"NYA","CIN",NA,NA,NA,NA
2017-05-12,"SEA","PHI",NA,NA,NA,NA
2017-05-12,"TEX","SD",NA,NA,NA,NA
2017-05-12,"CHN","COL",NA,NA,NA,NA
2017-05-12,"PIT","LAN",NA,NA,NA,NA
2017-05-12,"STL","MIA",NA,NA,NA,NA
2017-05-12,"SF","NYN",NA,NA,NA,NA
2017-05-13,"BAL","WAS",NA,NA,NA,NA
2017-05-13,"BOS","MIL",NA,NA,NA,NA
