GameId,GameString,GameDate,LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,PrevDayGamesPlayed,G,GS,INN,PO,A,E,DP,TP,PB,FPctP,SB,CS,PKOF,FPctC,Outs,Chances,Zone,FPct,Pivots2B,Cint,Cer,Cera,Efield,Ethrow
,,,Pacheco,Jordan Patrick,457574,"Pacheco Jordan",2677,ATL,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcello,Rick,519144,"Porcello Rick",2717,BOS,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Rice,Scott,446488,"Rice Scott",2743,ARI,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Monell,Johnny,476192,"Monell Johnny",2783,NYN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Marmol,Carlos,461791,"Marmol Carlos",2790,BOS,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cruz,Arnoldi,488810,"Cruz Tony",2802,KC,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Pina,Manuel,444489,"Pina Manny",2829,MIL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ynoa,Rafael,501255,"Ynoa Rafael",2832,COL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Hunter,Cedric,501986,"Hunter Cedric",2833,PHI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Detwiler,Ross,446321,"Detwiler Ross",2859,OAK,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Britton,John Drake,518493,"Britton Drake",2868,DET,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Casilla,Jairo,433586,"Casilla Santiago",2873,SF,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Sizemore,Scott,502003,"Sizemore Scott",2881,WAS,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Avilan,Luis Armando,501593,"Avilan Luis",2882,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,McAllister,Zachary,502083,"McAllister Zach",2895,CLE,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
