GameDate,FirstName,LastName,Team,LW,,,,,,,,,PA,AB,R,H,1B,2B,3B,HR,RBI,SAC,SF,HBP,BB,K,SB,CS,GIDP,HFC,GB,FB,LD,POPU,BH,IFH,OUTS,,,,,,,,
4/6/2016,Dustin,Ackley,NYA,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2,,,,,,,,
4/24/2016,Dustin,Ackley,NYA,0.21,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,0,1,,,,,,,,
4/21/2016,Brett,Gardner,NYA,0.01,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,
4/21/2016,Mariekson Julius,Gregorius,NYA,0.21,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,1,,,,,,,,
4/21/2016,Aaron,Hicks,NYA,0.79,,,,,,,,,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,,,,,,,,
4/21/2016,Brian,McCann,NYA,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/21/2016,Austin Allen,Romine,NYA,0.14,,,,,,,,,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,,1,1,,,,,,,,
4/11/2016,Asdrubal,Cabrera,NYN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/11/2016,Eric Singleton,Campbell,NYN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/23/2016,Alejandro,De Aza,NYN,0.21,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,,,,,,,,
4/30/2016,Jacob,deGrom,NYN,-0.18,,,,,,,,,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,
4/27/2016,Matt,Harvey,NYN,-0.56,,,,,,,,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,,,,,,,,
4/17/2016,Juan Osvaldo,Lagares,NYN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/19/2016,Juan Osvaldo,Lagares,NYN,0.55,,,,,,,,,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,,0,1,,,,,,,,
4/7/2016,Yonder,Alonso,OAK,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2,,,,,,,,
4/17/2016,Billy,Butler,OAK,-1.03,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,2,,,,,,,,
4/7/2016,Mark,Canha,OAK,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,2,,,,,,,,
4/19/2016,Mark,Canha,OAK,-0.46,,,,,,,,,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,,0,1,,,,,,,,
4/25/2016,Mark,Canha,OAK,0.21,,,,,,,,,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,1,,,,,,,,
4/13/2016,Christopher,Coghlan,OAK,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/19/2016,Covelli,Crisp,OAK,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2,,,,,,,,
4/24/2016,Tyler,Ladendorf,OAK,-1.03,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,2,,,,,,,,
4/13/2016,Jed,Lowrie,OAK,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,,,,,,,,
4/5/2016,Joshua Aaron,Phegley,OAK,1.26,,,,,,,,,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,0,,,,,,,,
4/7/2016,Marcus,Semien,OAK,0.08,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,1,,,,,,,,
4/20/2016,Daniel,Valencia,OAK,0.14,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,1,,,,,,,,
4/23/2016,Andres,Blanco,PHI,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/29/2016,Andres,Blanco,PHI,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,0,2,,,,,,,,
4/18/2016,Jerad,Eickhoff,PHI,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/30/2016,Jerad,Eickhoff,PHI,0.21,,,,,,,,,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,1,,,,,,,,
4/6/2016,Tyler,Goeddel,PHI,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/20/2016,Cole,Figueroa,PIT,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,2,,,,,,,,
4/20/2016,Matthew,Joyce,PIT,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2,,,,,,,,
4/27/2016,Matthew,Joyce,PIT,0.55,,,,,,,,,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,,,,,,,,
4/23/2016,Juan,Nicasio,PIT,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,2,,,,,,,,
4/22/2016,Jonathon J,Niese,PIT,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
